# Results for "element" with Id # 23683 at position: x: 0; y: 20; z: 0
# time PRESSURE
0.005 -243.47192891418106
0.0075 92.13083444217735
0.01 4.263519087076112
0.0125 -1.5747507027811731
0.015000000000000001 -2.564422837648639
0.0175 -2.3484611173752783
0.02 -2.1580968200602593
0.0225 -2.006351711330521
0.024999999999999998 -1.8485253358462392
0.027499999999999997 -1.6910381348061863
0.029999999999999995 -1.5545420557668637
0.032499999999999994 -1.4871187406389281
0.034999999999999996 -1.4632712805638213
0.0375 -1.4814016134452719
0.04 -1.501560499810388
0.0425 -1.5183111085750385
0.045000000000000005 -1.5233610982896075
0.04750000000000001 -1.5100780870760893
0.05000000000000001 -1.4902440809528184
0.05250000000000001 -1.4613609286486886
0.055000000000000014 -1.4396777940432948
0.057500000000000016 -1.4238006653401407
0.06000000000000002 -1.4173156423922686
0.06250000000000001 -1.4185835192162797
0.06500000000000002 -1.4199780927779022
