# Results for "element" with Id # 71481 at position: x: -36; y: 0; z: 0
# time PRESSURE
0.005 133.35026012210722
0.0075 -12.014107329634736
0.01 4.75831240981959
0.0125 0.9842458432021557
0.015000000000000001 0.1585391255365567
0.0175 0.26514390732879284
0.02 0.37244657450171303
0.0225 0.47762042864527304
0.024999999999999998 0.6072860257004871
0.027499999999999997 0.7396310758277513
0.029999999999999995 0.8500563506091665
0.032499999999999994 0.8955527083886499
0.034999999999999996 0.9002229641465448
0.0375 0.8654560237750558
0.04 0.8309488323745496
0.0425 0.8007982005577139
0.045000000000000005 0.7847718929885978
0.04750000000000001 0.7875570292539849
0.05000000000000001 0.7966551474951387
0.05250000000000001 0.8156438260920558
0.055000000000000014 0.8283926706596594
0.057500000000000016 0.8361470022833225
0.06000000000000002 0.8362942676792873
0.06250000000000001 0.8288716770244857
0.06500000000000002 0.822537154896319
